No	Root
0326	ተረከበ
0327	ተረዳ
0328	ተረጎመ
0329	ተረፈ
0330	ተቆረሰ
0331	ተቆረጠ
0332	ተኛ
0333	ተየበ
0334	ተግባር
0335	ታደገ
0336	ትንፋሽ
0337	ትዝብት
0338	ችኮላ
0339	ነቆረ
0340	ናወዘ
0341	ንቀት
0342	ንፋስ
0343	አሳበቀ
0344	አስታዋሽ
0345	እንቅስቃሴ
0346	ክስ
0347	ክፍያ
0348	ኮመኮመ
0349	ወገን
0350	ዋለ
0351	ውርደት
0352	ውሸት
0353	ውበት
0354	ውይይት
0355	ውጥረት
0356	ውጥን
0357	ውፍረት
0358	ዘጋ
0359	ዝላይ
0360	ዝነጣ
0361	ጅማሬ
0362	ገባ
0363	ግምገማ
0364	ግንኙነት
0365	ጠነባ
0366	ጥየቃ
0367	ፀፀት
0368	ፉከራ
0369	ፋቀ
0370	ሀለ፟መ
0371	ሀለቀ
0372	ሀለፈ
0373	ሀመመ
0374	ሀመ፟ቀ
0375	ሀመነ
0376	ሀማረ
0377	ሀሰረ
0378	ሀሰ፟በ
0379	ሀረሰ
0380	ሀረ፟ቀ
0381	ሀረበደ
0382	ሀረደ
0383	ሀረ፟ገ
0384	ሀራህ
0385	ሀሸ፟ገ
0386	ሀቀ፟ደ
0387	ሀቀፈ
0388	ሀበሰ
0389	ሀተ፟መ
0390	ሀነጠሰ
0391	ሀኘ፟ከ
0392	ሀከ፟መ
0393	ሀከከ
0394	ሀወ፟ረ
0395	ሀወ፟ከ
0396	ሀወ፟ደ
0397	ሀዘነ
0398	ሀዘዘ
0399	ሀየህ
0400	ሀየ፟ለ
0401	ሀደ፟ለ
0402	ሀደ፟ሰ
0403	ሀደበ
0404	ሀጀ፟በ
0405	ሀጠረ
0406	ሀጠነ
0407	ሀጠፈ
0408	ሀጨደ
0409	ሀፈሰ
0410	ሀፈረ
0411	ሄʸደ
0412	ኍምጥጥ
0413	ህረጀህ
0414	ለበ፟በ
0415	ለተ፟መ
0416	ለካ፟ህ
0417	ለዘ፟በ
0418	ለገ፟መ
0419	ለጋ፟ህ
0420	ለጠ፟ፈ
0421	ለፋህ
0422	ላህላህ
0423	ላህሰ
0424	ላህሸቀ
0425	ላህቀ
0426	ላህበ
0427	ላህከ
0428	ላህጠ
0429	ልምልም
0430	ልምስስ
0431	ልምዝግ
0432	ልምጥጥ
0433	ልስልስ
0434	ልሽልሽ
0435	ልቅልቅ
0436	ልብልብ
0437	ልአልአ
0438	ልኵስኵስ
0439	ልክልክ
0440	ልክስክስ
0441	ልክፍክፍ
0442	ልጕምጕም
0443	ልጥልጥ
0444	ልፋጭቅ
0445	ልፍልፍ
0446	ልፍስፍስ
0447	መለ፟ሰ
0448	መለከ
0449	መሰ፟ለ
0450	መሰኳህ
0451	መሳህቀለ
0452	መሳቀለ
0453	መረኮዘ
0454	መራህ
0455	መሸህ
0456	መነ፟ነ
0457	መኘ፟ህ
0458	መዘ፟ነ
0459	መደ፟ነ
0460	ማህሰ
0461	ማህረ
0462	ምልምል
0463	ምልክት
0464	ምሳቅል
0465	ምሳጥር
0466	ምስርት
0467	ምስኵአ
0468	ምስክር
0469	ምስክን
0470	ምስግን
0471	ምርምር
0472	ምርቅዝ
0473	ምርኵዝ
0474	ምንምን
0475	ምንሽንሽ
0476	ምንቅር
0477	ምንትአ
0478	ምንትፍ
0479	ምንችክ
0480	ምንኵስ
0481	ምንዝር
0482	ምንግግ
0483	ምንጥር
0484	ምንጥቅ
0485	ምንጭ
0486	ምንጭር
0487	ምንጭቅ
0488	ምካኝ
0489	ምዝምዝ
0490	ምዝብር
0491	ምዝግብ
0492	ምዝግዝግ
0493	ምድምድ
0494	ምግምግ
0495	ምጥምጥ
0496	ምጥውት
0497	ምጭምጭ
0498	ምጻድቅ
0499	ምጽውት
0500	ሞላህ
0501	ሞረ፟ደ
0502	ሞከ፟ረ
0503	ሰለ፟ለ
0504	ሰለቀ
0505	ሰለ፟ፈ
0506	ሰላህ
0507	ሰማህ
0508	ሰረጨህ
0509	ሰራህ
0510	ሰቀ፟ለ
0511	ሰቀየህ
0512	ሰበበ
0513	ሰናህዳህ
0514	ሰካ፟ህ
0515	ሰጣህ
0516	ሳህለ
0517	ሳህሳህ
0518	ሳህቀ
0519	ሳህበ
0520	ሴʸረ
0521	ስልምልም
0522	ስልስል
0523	ስልቅጥ
0524	ስልች
0525	ስልክልክ
0526	ስልጥን
0527	ስራጭ
0528	ስርስር
0529	ስርንቅ
0530	ስርጕድ
0531	ስቅስቅ
0532	ስቅይ
0533	ስቅጥጥ
0534	ስባስብ
0535	ስባጥር
0536	ስብስብ
0537	ስናድአ
0538	ስንቅር
0539	ስንብት
0540	ስንብጥ
0541	ስንክል
0542	ስንዝር
0543	ስንጥር
0544	ስንጥቅ
0545	ስንፍጥ
0546	ስአስአ
0547	ስክስክ
0548	ስግስግ
0549	ስግብግብ
0550	ስፍስፍ
0551	ስፍንጥር
0552	ረመደ
0553	ረሳህ
0554	ረበ፟ሸ
0555	ረባህ
0556	ረጋህ
0557	ረጨህ
0558	ረፈ፟ጠ
0559	ራህሰ
0560	ራህቀ
0561	ርምስምስ
0562	ርምጥምጥ
0563	ርስርስ
0564	ርብርብ
0565	ርብትብት
0566	ርብድብድ
0567	ርአርአ
0568	ርክፍክፍ
0569	ርዝርዝ
0570	ርግርግ
0571	ርግብግብ
0572	ርጥርጥ
0573	ርፍርፍ
0574	ሸለ፟ለ
0575	ሸለ፟ተ
0576	ሽWልክ
0577	ሽWጥጥ
0578	ሽልሽል
0579	ሽልቅቅ
0580	ሽምቅቅ
0581	ሽምድምድ
0582	ሽምድድ
0583	ሽምግል
0584	ሽምጥጥ
0585	ሽሟጥጥ
0586	ሽርሽር
0587	ሽርክት
0588	ሽርድድ
0589	ሽርᎃጥ
0590	ሽቍጥቍጥ
0591	ሽቅሽቅ
0592	ሽቅንጥር
0593	ሽቅዳድም
0594	ሽብልል
0595	ሽብልብል
0596	ሽብርቅ
0597	ሽብሽብ
0598	ሽንሽን
0599	ሽንቍር
0600	ሽንቍጥ
0601	ሽንቅር
0602	ሽንቅጥ
0603	ሽንትር
0604	ሽንክፍ
0605	ሽንድር
0606	ሽንግል
0607	ሽኵርምም
0608	ሽክርክር
0609	ሽክሽክ
0610	ሽጋሽግ
0611	ሽጓጥጥ
0612	ቀለቀለ
0613	ቀለ፟ደ
0614	ቀላህ
0615	ቀላህቀለ
0616	ቀመ፟መ
0617	ቀመ፟ጠ
0618	ቀረህ
0619	ቀረነ
0620	ቀበ፟ለ
0621	ቀነ፟ሰ
0622	ቀየ፟ሰ
0623	ቀየ፟ረ
0624	ቀየ፟ደ
0625	ቀየ፟ጠ
0626	ቀደ፟ሰ
0627	ቀጠ፟ለ
0628	ቀጨህ
0629	ቍላምጥ
0630	ቍልምም
0631	ቍልቍል
0632	ቍልጭልጭ
0633	ቍስቍስ
0634	ቍራኝ
0635	ቍርምድ
0636	ቍርቍስ
0637	ቍርቍር
0638	ቍርቍዝ
0639	ቍርጥም
0640	ቍርፍድ
0641	ቍንድድ
0642	ቍንጅ
0643	ቍንጕል
0644	ቍንጥር
0645	ቍንጥንጥ
0646	ቍንጥጥ
0647	ቍንጽል
0648	ቍጥቍጥ
0649	ቍፍንን
0650	ቃህመ
0651	ቃህተ
0652	ቃኘ፟ህ
0653	ቅላምድ
0654	ቅላቅል
0655	ቅላውጥ
0656	ቅልስልስ
0657	ቅልሽልሽ
0658	ቅልብልብ
0659	ቅልብስ
0660	ቅልጥልጥ
0661	ቅልጥም
0662	ቅልጥፍ
0663	ቅማጥል
0664	ቅምቅም
0665	ቅሳፍት
0666	ቅስቅስ
0667	ቅርሽ
0668	ቅርቅር
0669	ቅርቅብ
0670	ቅርንአ
0671	ቅርድድ
0672	ቅርጥፍ
0673	ቅባጅር
0674	ቅባጥር
0675	ቅብቅብ
0676	ቅብትት
0677	ቅብዝብዝ
0678	ቅብጥብጥ
0679	ቅናጥአ
0680	ቅንቅን
0681	ቅንብር
0682	ቅንብጥ
0683	ቅንዝር
0684	ቅንዝንዝ
0685	ቅንድብ
0686	ቅንጥስ
0687	ቅንጥብ
0688	ቅንጭር
0689	ቅንጭብ
0690	ቅአጥአ
0691	ቅዝቅዝ
0692	ቅዳጅ
0693	ቅጥቅጥ
0694	ቅጭልጭል
0695	ቅጭቅጭ
0696	ቅፍርር
0697	ቅፍቅፍ
0698	ቅፍድድ
0699	ቆለ፟ፈ
0700	ቆላህ
0701	በለበለ
0702	በላህ
0703	በሰረ
0704	በሳህ
0705	በረከከ
0706	በራህ
0707	በዛህ
0708	በየ፟ነ
0709	በጣህ
0710	ባህለ
0711	ባህለገ
0712	ባህሰ
0713	ባህረቀ
0714	ባህረከ
0715	ብላሽ
0716	ብልቅጥ
0717	ብልጥልጥ
0718	ብልጥግ
0719	ብልጥጥ
0720	ብልጭልጭ
0721	ብልጽግ
0722	ብሳጭ
0723	ብስልስል
0724	ብስብስ
0725	ብርቅስ
0726	ብርቅርቅ
0727	ብርብር
0728	ብርትአ
0729	ብርክርክ
0730	ብርክት
0731	ብርግድ
0732	ብርግግ
0733	ብሽቅጥ
0734	ብአርአ
0735	ብአብአ
0736	ብክንክን
0737	ብዝብዝ
0738	ብጥብጥ
0739	ተመ፟ነ
0740	ተረ፟ከ
0741	ተፋህ
0742	ትልትል
0743	ትምትም
0744	ትራምስ
0745	ትርትር
0746	ትርኵስ
0747	ትርክክ
0748	ትርጕም
0749	ትርፍርፍ
0750	ትብትብ
0751	ትናኵል
